snst_tree1_d 29 23 0
snst_tree1_d 11 16 2
snst_tree1_d 26 28 2
snst_tree1_d 31 42 2
snst_ballpile 27 16 0
snst_tree1_d 32 10 0
snst_tree1_d 13 21 2
snst_tree1_d 33 14 0
snst_ballpile 18 14 0
snst_tree1_d 15 36 2
snst_tree1_d 34 17 0
snst_tree1_d 17 33 2
snst_block1 27 17 4
snst_ballpile 31 12 0
snst_tree1_d 34 42 2
snst_tree1_d 41 31 0
snst_tree1_d 9 20 2
snst_tree1_d 30 39 0
snst_block1 21 27 6
snst_ballpile 27 12 0
snst_block1 22 28 4
snst_tree1_d 13 31 2
snst_tree1_d 10 30 2
snst_ballpile 22 35 0
snst_ballpile 21 28 0
xm09_man_a 14 9 2
snst_tree1_d 40 34 0
snst_tree1_d 42 21 0
snst_ballpile 27 32 0
snst_tree1_d 25 20 0
snst_tree1_d 36 14 0
snst_tree1_d 11 26 2
snst_tree1_d 39 36 0
snst_tree1_d 25 24 0
snst_ballpile 22 13 0
snst_tree1_d 13 13 0
snst_fence 19 22 2
snst_tree1_d 28 9 0
snst_fence 34 26 2
snst_tree1_d 19 11 0
snst_ballpile 32 20 0
snst_tree1_d 29 44 2
snst_tree1_d 43 27 0
snst_tree1_d 19 36 2
snst_tree1_d 29 26 0
xm09_man_c 14 9 4
snst_tree1_d 14 17 2
snst_tree1_d 24 9 0
snst_tree1_d 22 20 0
snst_fence 17 22 2
snst_block1 26 16 6
snst_ballpile 17 29 0
snst_block1 22 27 6
snst_tree1_d 37 40 2
snst_tree1_d 24 42 2
snst_tree1_d 17 10 0
snst_ballpile 14 24 0
snst_tree1_d 20 40 2
snst_tree1_d 20 8 0
snst_ballpile 17 35 0
snst_block1 26 17 4
snst_tree1_d 22 24 2
snst_fence 30 26 2
xm09_man_b 14 9 4
