snst_block1 41 37 0
snst_block1 2 20 0
snst_block1 10 18 6
snst_tree1 19 41 0
snst_block1 41 20 0
snst_tree1 9 31 0
snst_block1 23 44 0
snst_block1 4 18 0
snst_block1 2 20 0
snst_tree1 25 38 0
snst_block1 2 19 0
snst_block1 9 18 0
snst_block1 7 18 0
snst_fence 17 14 2
snst_block1 2 18 0
snst_tree1 49 28 0
snst_block1 2 22 6
snst_block1 5 18 0
snst_block1 4 18 0
snst_block1 39 22 2
snst_block1 39 23 0
snst_fence 24 44 0
snst_tree1 36 15 0
snst_block1 23 44 0
snst_tree1 47 32 0
snst_block1 39 37 0
snst_block1 8 18 0
snst_block1 2 19 0
snst_tree1 6 20 0
snst_block1 2 18 0
snst_fence 15 14 2
snst_tree1 26 6 0
snst_block1 39 23 4
snst_block1 23 38 2
snst_tree1 10 26 0
snst_block1 23 45 4
snst_block1 39 21 0
snst_block1 5 18 0
snst_block1 39 24 6
snst_tree1 13 15 0
snst_block1 3 18 0
snst_fence 13 14 2
snst_tree1 30 7 0
snst_block1 40 20 0
snst_fence 29 7 0
snst_fence 21 14 2
snst_fence 24 40 0
snst_block1 23 40 0
snst_tree1 15 10 0
snst_block1 37 37 0
snst_tree1 20 4 0
snst_block1 3 18 0
snst_block1 23 40 0
snst_block1 2 22 2
snst_block1 43 20 6
snst_block1 23 39 0
snst_tree1 45 25 0
snst_block1 23 42 0
snst_block1 42 20 0
snst_block1 9 18 0
snst_block1 10 18 0
snst_fence 24 38 0
snst_block1 11 18 0
snst_block1 39 37 0
snst_block1 8 18 0
snst_block1 39 20 0
snst_block1 38 37 0
snst_block1 40 37 0
snst_block1 2 21 0
snst_fence 24 42 0
snst_block1 39 22 0
snst_block1 38 37 0
snst_block1 40 20 0
snst_tree1 28 47 0
snst_block1 6 18 0
snst_tree1 5 24 0
snst_block1 41 20 4
snst_fence 19 14 2
snst_tree1 20 8 0
snst_block1 2 21 0
snst_block1 23 38 0
snst_block1 23 42 0
snst_block1 42 20 0
snst_block1 39 21 0
snst_block1 12 18 4
snst_block1 11 18 0
snst_block1 40 37 0
snst_block1 23 41 0
snst_block1 43 20 2
snst_block1 39 20 0
snst_tree1 15 34 0
snst_block1 6 18 0
snst_block1 7 18 0
snst_fence 29 9 0
snst_block1 39 24 2
snst_block1 23 43 0
ads_igorraygun 28 12 4
ads_igorraygun 41 33 6
ads_igorraygun 31 41 0
ads_igorraygun 17 37 2
ads_igorraygun 11 21 2
